21933113	T	0:77
21933113	A	0:230
21933113	A	231:385
21933113	A	386:537
21933113	A	538:710
21933113	A	711:840
21933113	A	841:1154
21933113	A	1155:1401
22006095	T	0:126
22006095	A	0:110
22006095	A	111:218
22006095	A	219:358
22006095	A	359:513
22006095	A	514:645
22006095	A	646:725
22006095	A	726:828
22006095	A	829:922
22006095	A	923:1087
22006095	A	1088:1195
22006095	A	1196:1317
22006095	A	1318:1400
22006095	A	1401:1574
22006095	A	1575:1715
22006095	A	1716:1854
22056334	T	0:37
22056334	A	0:166
22056334	A	167:258
22056334	A	259:440
22056334	A	441:578
22056334	A	579:681
22056334	A	682:813
22056334	A	814:895
22056334	A	896:1070
22056334	A	1071:1204
22079313	T	0:100
22079313	A	0:88
22079313	A	89:183
22079313	A	184:293
22079313	A	294:488
22079313	A	489:575
22079313	A	576:686
22079313	A	687:803
22079313	A	804:907
22079313	A	908:1005
22079313	A	1006:1225
22082827	T	0:123
22082827	A	0:147
22082827	A	148:360
22082827	A	361:443
22082827	A	444:627
22082827	A	628:847
22082827	A	848:1204
22082827	A	1205:1297
22158333	T	0:71
22158333	A	0:159
22158333	A	160:389
22158333	A	390:533
22158333	A	534:705
22158333	A	706:828
22158333	A	829:974
22236017	T	0:74
22236017	A	0:234
22236017	A	235:432
22236017	A	433:572
22236093	T	0:52
22236093	A	0:151
22236093	A	152:255
22236093	A	256:346
22239172	T	0:60
22239172	A	0:256
22239172	A	257:418
22239172	A	419:580
22239172	A	581:762
22241176	T	0:122
22241176	A	0:181
22241176	A	182:275
22241176	A	276:378
22241176	A	379:538
22241176	A	539:763
22241176	A	764:945
22241176	A	946:1042
22241176	A	1043:1149
22241176	A	1150:1265
22241176	A	1266:1485
22273350	T	0:114
22273350	A	0:138
22273350	A	139:286
22273350	A	287:640
22273350	A	641:805
22273350	A	806:969
22301814	T	0:97
22301814	A	0:241
22301814	A	242:503
22301814	A	504:613
22301814	A	614:769
22301814	A	770:843
22301814	A	844:1059
22301815	T	0:165
22301815	A	0:245
22301815	A	246:327
22301815	A	328:423
22301815	A	424:535
22301815	A	536:642
22301815	A	643:754
22301815	A	755:966
22301815	A	967:1058
22301815	A	1059:1247
22312035	T	0:112
22312035	A	0:107
22312035	A	108:198
22312035	A	199:328
22312035	A	329:478
22312035	A	479:801
22312035	A	802:954
22313530	T	0:111
22313530	A	0:164
22313530	A	165:242
22313530	A	243:525
22313530	A	526:620
22313530	A	621:828
22313530	A	829:954
22313530	A	955:1132
22313530	A	1133:1264
22313530	A	1265:1461
22313530	A	1462:1679
22313530	A	1680:1872
22313530	A	1873:1957
22335586	T	0:91
22335586	A	0:88
22335586	A	89:178
22335586	A	179:280
22335586	A	281:522
22335586	A	523:705
22335586	A	706:1077
22335586	A	1078:1254
22335586	A	1255:1371
22335586	A	1372:1541
22335586	A	1542:1700
22342985	T	0:157
22342985	A	0:525
22342985	A	526:954
22342985	A	955:1140
22342985	A	1141:1374
22342985	A	1375:1674
22342985	A	1675:1905
22342985	A	1906:2015
22348222	T	0:111
22348222	A	0:90
22348222	A	91:248
22348222	A	249:392
22348222	A	393:559
22348222	A	560:647
22348951	T	0:118
22348951	A	0:143
22348951	A	144:320
22348951	A	321:474
22348951	A	475:777
22348951	A	778:937
22348951	A	938:1148
22348951	A	1149:1315
22348951	A	1316:1572
22348951	A	1573:1713
22348951	A	1714:1905
22348951	A	1906:2032
22348951	A	2033:2200
22352409	T	0:173
22352409	A	0:301
22352409	A	302:417
22352409	A	418:558
